verb	freq	asym	mid	growth	rp	max-min	max	failed	residuals
fortsätta	137762	0.68826	1995.95082	6.2721	0	0.15495	0.69049	6279	0.00216264529592015
komma	2519646	0.67944	2002.84948	2.66894	0	0.29472	0.70403	6546	0.00252329726526386
glömma	113035	0.85128	2031.09462	-3.11238	0	0.07349	0.8661	6482	0.00236536640371216
vägra	213407	0.86696	1995.81677	3.45099	0	0.08344	0.87663	6464	0.00117060414210651
försöka	931759	0.96817	1986.98541	5.49553	0	0.04906	0.97018	6509	0.000118541200640168
låtsas	9305	0.96817	1986.98541	5.49553	0	0.01919	0.02752	5505	0.000118541200640168
börja	1659893	0.99153	1992.24139	2.81145	0	0.01688	0.99383	7175	2.281304288671E-05
orka	241951	0.99153	1992.24139	2.81145	0	0.00963	0.99159	6901	2.281304288671E-05
råka	130313	0.99961	1988.14715	2.00142	0	0.00299	1	7208	4.02593656427063E-07
lyckas	170580	0.98922	1994.58362	2.07405	0.0001	0.01517	0.99368	6659	7.01723122567915E-05
sluta	187244	0.93499	1994.16739	2.51584	0.0003	0.02283	0.94191	6331	0.000429316515324162
hinna	231128	0.99129	1992.15469	2.60594	0.0005	0.01337	0.99525	6942	8.29353643769661E-05
anse	17444	0.09406	1994.17443	9.01903	0.0022	0.03706	0.10227	5741	0.00128600806255907
riskera	32748	0.8986	2040.01844	-5.78433	0.0042	0.06549	0.90453	6577	0.00322801606330453
planera	46827	0.9229	2027.47298	-1.55154	0.0154	0.06616	0.94231	6811	0.00418737854564244
bruka	1054833	0.99961	1988.14715	2.00142	0.0172	0.00054	0.9998	7645	4.02593656427063E-07
slippa	228226	0.97614	1995.17431	1.91124	0.0189	0.01278	0.98067	6562	0.000260958202217032
tendera	11187	0.9229	2027.47298	-1.55154	0.0502	0.08632	0.95327	6439	0.00418737854564244
lova	30644	0.9229	2027.47298	-1.55154	0.0537	0.09721	0.90909	6300	0.00418737854564244
våga	172470	0.99492	1984.96269	2.76557	0.2339	0.0051	0.99738	6983	3.21479014289312E-05
behöva	779085	0.99492	1984.96269	2.76557	0.2594	0.00178	0.99968	7406	3.21479014289312E-05
