period	total	v1abs	v2abs	v1rel	v2rel	v1ipm	v2ipm
2003	1.0	0.0	1.0	0.0	1.0	NA	NA
2004	10.0	0.0	10.0	0.0	1.0	NA	NA
2005	17.0	0.0	17.0	0.0	1.0	NA	NA
2006	51.0	0.0	51.0	0.0	1.0	NA	NA
2007	43.0	3.0	40.0	0.06976744186046512	0.9302325581395349	NA	NA
2008	55.0	1.0	54.0	0.01818181818181818	0.9818181818181818	NA	NA
2009	78.0	1.0	77.0	0.01282051282051282	0.9871794871794872	NA	NA
2010	51.0	0.0	51.0	0.0	1.0	NA	NA
2011	81.0	1.0	80.0	0.012345679012345678	0.9876543209876543	NA	NA
2012	55.0	0.0	55.0	0.0	1.0	NA	NA
2013	43.0	1.0	42.0	0.023255813953488372	0.9767441860465116	NA	NA
2014	21.0	1.0	20.0	0.047619047619047616	0.9523809523809523	NA	NA
2015	11.0	0.0	11.0	0.0	1.0	NA	NA
2016	18.0	0.0	18.0	0.0	1.0	NA	NA
2017	13.0	0.0	13.0	0.0	1.0	NA	NA
2018	12.0	0.0	12.0	0.0	1.0	NA	NA
2019	25.0	0.0	25.0	0.0	1.0	NA	NA
2020	12.0	0.0	12.0	0.0	1.0	NA	NA
2021	9.0	0.0	9.0	0.0	1.0	NA	NA
2022	7.0	0.0	7.0	0.0	1.0	NA	NA
